Query Execution Results


Results for salaries_1MB.db:

Query 1:
SELECT DISTINCT p.PersonName
FROM persons p, employment_records e
WHERE p.PersonID = e.PersonID
AND p.BirthDate < '1975-01-01'
AND e.Earnings > 130000
AND e.EarningsYear = (
    SELECT MAX(EarningsYear)
    FROM employment_records e2)
                       PersonName
                     Steven White
                   Jackson Becker
                        Maria Kim
                       Shawn Case
               Veronica Blackburn
                     Alyssa Kelly
                  Nischala Kalari
                   Brandon Garcia
                   James Faulkner
                     Chris Tucker
                   Jennifer Brown
                   Jennifer Ayala
                       Diana Byrd
                      Lisa Miller
                      Henry Boyer
                       Scott Mayo
                 Madison Harrison
                   Aaron Williams
                      Anna Dawson
                    William Simon
                    Susan Jackson
                     Karen Nelson
               Pranav Badanapally
                     Richard Bond
                 Jennifer Vincent
                      Bobby Davis
                   Charles Mercer
                 Daniel Castaneda
                   Kanishka Patre
                     Tiffany Reid
                       Tyler Ross
                Benjamin Franklin
                   Nicole Russell
                Michele Hernandez
                    Johnny Rhodes
                    Andrea Norris
                  Hrushitha DARNA
                     Debra Nelson
                Amanda Washington
                      Tracy White
                      Aimee Sharp
                     Brian Joseph
                  Karthik Shingte
                      Kevin Grant
               Christopher Patton
        Vatsal Alpeshkumar Pandya
                      Sarah Smith
                      Steven Ruiz
                     Noah Johnson
                  Natalie Vasquez
                  Timothy Estrada
                      Mia Barrera
                 Jermaine Hawkins
                    Amanda Riddle
                    Rohit PARIHAR
                    Sandra Taylor
                   Sarah Anderson
                      Kayla Smith
                    Rachel Miller
                 Alexandra Morris
                     Marvin Moore
                      Carol Owens
           Sahithi Gladies Dasari
                    Sharon Garcia
                      Keith Clark
                    Balaji Ramesh
                    Anita Simpson
                     Robert Meyer
                       Kevin Ware
                  Melissa Whitney
                 Jeremiah Jackson
                Angela Valenzuela
                     Greg Freeman
                       Holly Hill
                    Zachary Evans
                    Patrick Cohen
                  Gregory Roberts
                     Laurie Perez
                   Christy Grimes
                      Jacob Smith
                    Sarah Edwards
                   Tara Patterson
                 Richard Campbell
                  Albert Matthews
                      Paul Parker
               Mohith Yadav Bazar
               Gabriel Strickland
                  Stephanie Logan
                   Taylor Cameron
                   Jonathan Brown
                 Anthony Lawrence
               Katrina Washington
                Victoria Anderson
                       Janet Long
                    Adam Williams
                    Donald Hudson
                Elizabeth Osborne
                     Andrea Moore
                 Shannon Friedman
                   Victoria Young
                   Kristi Coleman
                 Catherine Miller
                  Rebecca Stewart
                 Jackie Henderson
                    Andrea Gordon
               Carolyn Mccullough
                      Thomas Neal
                    Destiny Ortiz
                    Lori Chandler
                        Tony Horn
                     Gregory Lynn
                    Teresa Garcia
                   Jennifer Burns
                   Maria Whitaker
                 Cassandra Brandt
                      Mark Brewer
     Kavinaya Rameshkumar Bhuvana
                         Lisa May
                    Louis Leblanc
                        Cody Lane
                   Nancy Campbell
Yamini Samya Chandrakranthi Akula
                  Nicholas Lucero
                      Ryan Thomas
                  Yvonne Peterson
                 Denise Garcia MD
                     Travis Stone
                   Brandon Wright
                Kamalika Dasgupta
                     William Gray
                    Susan Spencer
                 Kimberly Kennedy
                        Bryan Fry
               Christopher Macias
